Question_ID,Baseline_Correct,Baseline_Latency,Baseline_Cost,MoA4_Correct,MoA4_Latency,MoA4_Cost
0,1,9.529083013534546,0.0026360000000000003,1,17.325958251953125,0.009583999999999999
1,1,11.619718551635742,0.005768,1,27.685932397842407,0.01444
2,1,7.026568174362183,0.003892,1,27.08095932006836,0.015452
3,1,5.2154858112335205,0.002884,1,31.720786571502686,0.015596
4,1,4.658983945846558,0.002432,1,28.367313623428345,0.014152
5,1,14.8121817111969,0.007386,1,22.80842685699463,0.012616000000000002
6,1,4.2569849491119385,0.0022400000000000002,1,14.537880420684814,0.007627999999999999
7,0,4.861490249633789,0.0025659999999999997,0,16.225094079971313,0.008756
8,1,9.373737573623657,0.005076,1,40.50199913978577,0.021262
9,1,9.519634485244751,0.00515,1,24.1802875995636,0.013228
10,1,7.2108354568481445,0.003792,1,18.28445315361023,0.009944000000000001
11,1,6.230196952819824,0.00292,1,16.017556190490723,0.008882000000000001
12,1,8.335131406784058,0.00422,1,25.254071712493896,0.012852
13,1,8.491952896118164,0.00409,1,37.62273931503296,0.019832000000000002
14,1,16.361754417419434,0.008666,1,30.53279709815979,0.016364
15,1,6.795407056808472,0.00285,1,13.954845905303955,0.0070880000000000006
16,1,3.0881168842315674,0.001234,1,9.30871295928955,0.005096
17,1,3.4283690452575684,0.00142,1,10.37630820274353,0.005592
18,1,2.754807233810425,0.0014399999999999999,1,11.77885365486145,0.006436000000000001
19,1,4.121557712554932,0.0023020000000000002,1,16.710785150527954,0.009384
20,1,43.801668882369995,0.017414000000000002,1,94.81887483596802,0.043326
21,1,3.1394197940826416,0.001552,1,16.546952962875366,0.007786000000000001
22,1,2.7364132404327393,0.0013540000000000002,1,14.786643743515015,0.006796
23,1,23.26219892501831,0.004574,1,24.322726726531982,0.010846
24,0,3.7138798236846924,0.001766,0,27.17074704170227,0.01072
25,1,12.519538879394531,0.00564,1,29.372034788131714,0.012631999999999999
26,1,4.391491413116455,0.001718,1,16.906545400619507,0.007282
27,1,5.720479726791382,0.002464,1,19.059239387512207,0.008932
28,1,8.78419303894043,0.003148,1,24.040189027786255,0.010012
29,1,2.6991591453552246,0.0012720000000000001,1,17.263790130615234,0.007510000000000001
30,1,6.261396169662476,0.002594,1,15.341353178024292,0.007314
31,1,5.044860601425171,0.0018560000000000002,1,22.675939321517944,0.010495999999999998
32,1,4.5749711990356445,0.001674,1,24.175447940826416,0.009441999999999999
33,1,5.113725185394287,0.0018260000000000001,1,17.707331895828247,0.008014
34,0,45.733195543289185,0.016604,0,68.82984590530396,0.02446
35,1,5.527064085006714,0.002312,1,23.333881378173828,0.010082
36,1,5.568922281265259,0.002078,1,25.375101804733276,0.009844
37,1,11.483818054199219,0.0038799999999999998,1,19.19001054763794,0.008544
38,1,4.064486503601074,0.001502,1,27.456822395324707,0.010992000000000002
39,1,2.5663962364196777,0.001012,1,15.514086484909058,0.00579
40,1,3.3401877880096436,0.001134,1,14.249428272247314,0.005496
41,1,38.8700590133667,0.013642,1,39.875473737716675,0.015836
42,1,8.41850757598877,0.0036920000000000004,1,20.679617881774902,0.008934000000000001
43,1,4.0116894245147705,0.001724,1,16.068153142929077,0.006222
44,1,4.711889028549194,0.002082,1,13.34573769569397,0.007008
45,1,4.038163661956787,0.001428,1,18.2743923664093,0.006796
46,1,40.52598023414612,0.015252000000000002,1,42.026411056518555,0.015948
47,1,6.422757863998413,0.002702,1,29.592169046401978,0.011370000000000002
48,1,7.080070972442627,0.003114,1,15.634176254272461,0.007892
49,1,19.386173248291016,0.008606,1,33.91164016723633,0.014336
50,1,3.4023869037628174,0.001382,1,17.17363405227661,0.007391999999999999
51,1,10.575697660446167,0.0037400000000000003,1,32.47613978385925,0.014252
52,1,8.311841011047363,0.0030440000000000003,1,19.753783226013184,0.008317999999999999
53,1,56.270845890045166,0.019098,1,75.6177978515625,0.027714000000000003
54,1,3.1797263622283936,0.00127,1,12.777494668960571,0.0054540000000000005
55,1,5.886536121368408,0.001962,1,14.962228775024414,0.006916
56,1,13.822587966918945,0.0054,1,34.96271252632141,0.01456
57,1,15.420673131942749,0.00513,1,37.26035785675049,0.014354000000000002
58,1,16.71003484725952,0.007690000000000001,1,21.29466986656189,0.010088
59,1,4.99581241607666,0.0019720000000000002,1,23.667015552520752,0.009726
60,1,5.141077756881714,0.002052,1,26.007535457611084,0.010986
61,1,5.974749803543091,0.0027440000000000003,1,26.321327209472656,0.011376
62,0,3.9182026386260986,0.0014119999999999998,0,14.167767524719238,0.006451999999999999
63,1,11.105206966400146,0.005168,1,46.533596992492676,0.018216
64,1,3.52276873588562,0.00167,1,28.07837724685669,0.011412
65,1,17.402678966522217,0.006008,1,36.139474391937256,0.012244
66,1,8.595455169677734,0.00348,1,23.258890628814697,0.010159999999999999
67,1,7.092068910598755,0.002634,1,17.464238166809082,0.007656
68,1,6.127034902572632,0.002552,1,31.047062635421753,0.012560000000000002
69,1,29.21747612953186,0.011734,1,48.762553453445435,0.019734
70,1,53.457682371139526,0.018321999999999998,1,49.284931659698486,0.016874
71,1,15.115733623504639,0.005636,1,19.725932598114014,0.007556
72,1,3.383185625076294,0.001432,1,12.474255323410034,0.0059240000000000004
73,1,5.358506441116333,0.002036,1,18.38008952140808,0.00805
74,1,4.647064685821533,0.0018160000000000001,1,19.198573112487793,0.00829
75,1,25.615166664123535,0.008738,1,55.74442219734192,0.019928
76,1,9.335638999938965,0.00368,1,22.347161769866943,0.009318
77,1,6.56018328666687,0.002502,1,18.503392934799194,0.007426
78,1,7.976012229919434,0.0028220000000000003,1,23.918961763381958,0.009812
79,1,6.1595704555511475,0.002518,1,27.370570421218872,0.007608
80,1,40.44657111167908,0.01336,1,43.74848771095276,0.015254
81,1,7.2661309242248535,0.003,1,22.161978483200073,0.00946
82,1,2.3190712928771973,0.00084,1,16.69356870651245,0.006446
